"Group Deals","Alle Deals"
"Search by Country:","Suche nach einer Stadt"
"Universal","Universal"
"(x) close","(x) schlie&szlig;en"
"There are no deals setup at the moment","Zur Zeit gibt es keine Deals"

"Value","Normal"
"Discount","Rabatt"
"You Save","Ersparnis"
"TIME LEFT TO BUY","Angebot l&auml;uft noch:"
"%s bought","bereits %s verkauft"
"%s more needed to get the deal","bei %s K&auml;ufern findet der Deal statt"
"The deal is on!","Der Deal findet statt!"
"Tipped at %s with %s bought","Aktiv seit %s mit %s K&auml;ufen"
"The deal is over.","Der Deal ist abgelaufen."
"The deal's target wasn't met.","Das Deal-Ziel wurde nicht erreicht."
"Share:","Freunden empfehlen!"
"The Fine Print","Konditionen"
"Highlights","Highlights"
"Business Hours","&Ouml;ffnungszeiten"
"Company Website","Firmen Website"
"Facebook","Facebook"
"Twitter","Twitter"
"Email","E-Mail"
"Phone:","Telefon:"
"Mobile:","Mobil:"
"View Larger Map","Karte vergr&ouml;&szlig;ern"
"Get Directions","Route berechnen"

"%s - Current Deals","%s - Aktuelle Deals"
"%s - Recent Deals","%s - Abgelaufene Deals"
"There are no recent deals.","Keine abgelaufenen Deals."
"There are no deals currently active.","Keine aktuellen Deals aktiv."
"view recent deals","Abgelaufene Deals anzeigen!"
"view current deals","Aktuelle Deals anzeigen!"
"Purchased:","Gekauft:"
"Value:","Normal:"
"Price:","Preis:"
"Target Met!","Ziel erreicht!"
"Target wasn't met.","Ziel wurde nicht erreicht."

"Side deals","Side Deals"
" deals,"" Deals"
"View: ","Anschauen: "
"All Deals","Alle Deals"
"Recent Deals","Abgelaufene Deals"
"Universal deals","Universal Deals"

"Subscribe to our deals!","Neue Deals per E-Mail erhalten!"
"Subscribe to receive updates whenever a new deal is posted, when it reaches it's target or when it's over.","Melden Sie sich an und wir informieren Sie über neue Deals, wenn Deal-Ziele erreicht sind oder wenn der Deal vorbei ist."
"City","Stadt"
"Email Address","E-Mail Adresse"
"Already Subscribed?","Bereits angemeldet?"
"Subscribe","Anmelden"

"Subscriptions","Anmeldungen"
"Subscribe to %s Deals:","Anmelden f&uuml;r %s Deals:"
"Subscribe","Anmelden"
"You are now unsubscribed!","Sie sind jetzt abgemeldet!"
"You have successfully unsubscribed to the %s newsletter. You will be redirected to our homepage in 5 seconds.","Sie haben sich erfolgreich vom %s Newsletter abgemeldet. Sie werden in 5 Sekunden auf unsere Homepage weitergeleitet."
"Session expired. Please select a city.","Sitzung abgelaufen. Bitte w&auml;hlen Sie eine Stadt."
"Thank you for your subscription.","Vielen Dank f&uuml;r Ihre Anmeldung."
"You are already subscribed to this city.","Sie haben sich f&uuml;r diese Stadt bereits angemeldet."

"My Coupons","Meine Coupons"
"Order #","Bestellung #"
"Deal Name","Deal Name"
"Coupon Code","Coupon Code"
"Value","Preis"
"Redeem Status","Einl&ouml;se Status"
"Coupon Action","Coupon Action"
"View","Anzeigen"
"Print","Ausdrucken"
"View Order","Bestellung anzeigen"
"You didn't purchase any coupons.","Sie haben noch keine Coupons gekauft."
"Back","Zur&uuml;ck"

"Coupon - %s","Coupon - %s"
"Print Coupon - %s","Coupon ausdrucken - %s"
"View Order","Bestellung anzeigen"
"Print Coupon","Coupon ausdrucken"
"Back to My Coupons","Zur&uuml;ck zu meinen Coupons"

"Not A Merchant Yet?","Noch kein Partner?"
"Subscribe to get your business featured on our %s website.","Melden Sie sich an um Ihre Deals auf unserer %s Website zu platzieren."

"Become a Merchant","Partner werden"
"General Deal Information","Allgemeine Informationen zum Deal"
"Name","Name"
"Email","E-Mail"
"Website","Website"
"Phone","Telefon"
"Mobile","Mobil"
"Facebook link","Facebook Seite"
"Twitter link","Twitter Seite"
"Description","Eine kurze Beschreibung zu Ihrem Unternehmen"
"Business Hours","&Ouml;ffnungszeiten"
"Address Information","Anschrift"
"1st Address","1st Adresse"
"2nd Address","2nd Adresse"
"3rd Address","3rd Adresse"
"4th Address","4th Adresse"
"5th Address","5th Adresse"
"Redeem at","Einl&ouml;sbar bei"
"* Required Fields","* bitte ausf&uuml;llen"
"Submit","Best&auml;tigen"

"Redeemable at %s in %s.","Einl&ouml;sbar bei %s in %s."
"Redeemable in %s.","Einl&ouml;sbar in %s."
"Redeemable at %s.","Einl&ouml;sbar bei %s."
"Customer Name:","Kunden Name:"
"CUSTOM OPTIONS:","WEITERE OPTIONEN:"
"ADDRESS:","ADRESSE:"
"CONTACT INFO:","KONTAKT INFO:"
"Phone:","Telefon:"
"Mobile:","Mobil:"
"E-Mail:","E-Mail:"
"Website:","Website:"
"Coupon #:","Coupon #:"
"Valid Until:","G&uuml;ltig bis:"
"Value:","Preis:"
"The Fine Print","Konditionen"
"Highlights","Highlights"
"Merchant Description","H&auml;ndler Beschreibung"
"BUSINESS HOURS","&Ouml;ffnungszeiten"
"Additional Info","Zus&auml;tzliche Infos"
"This is a Gift Coupon sent to you by %s.","Das ist ein Geschenk Gutschein von %s."
"Gift Message:","Geschenk Nachricht:"

"Facebook connection failed.","Facebook Verbindung fehlgeschlagen."
"Your Facebook account has been successfully connected. Now you can fast login using Facebook Connect anytime.","Ihr Facebook Konto wurde erfolgreich verbunden. Loggen Sie sich jederzeit schnell mit Ihrem Facebook Konto ein."
"Service temporarily unavailable.","Service zur Zeit nicht erreichbar."
"Email address is required.","E-Mail Adresse wird ben&ouml;tigt.."
"Thank you for registering with %s","Vielen Dank f&uuml;r die Registration %s"
"You will receive welcome email with registration info in a moment.","Sie bekommen in den n&auml;chsten Minuten eine Willkommens E-Mail mit Infos zu Ihrer Anmeldung."
"Facebook profile can't provide all required info, please register and then connect with Facebook for fast login.","Ihr Facebook Profil enth&auml;lt fehlende Informationen. Bitte zuerst registrieren und dann mit Facebook verbinden."
"Connect with Facebook","Mit Facebook verbinden"
"Facebook Connect","Facebook Connect"
"Facebook Users","Facebook Benutzer"
"Use your Facebook account to login or register within our store. You're just one click away.","Benutzen Sie Ihr Facebook Konto um sich in unserem Shop zu registrieren oder anzumelden. Sie sind nur ein Klick davon entfernt."
"Facebook Connect Options","Facebook Verbindungsoptionen"
"Enabled","Aktiviert"
"Application Api Key","Application Api Key"
"Application Secret","Application Secret"
"Locale","Locale"

"Message","Nachricht"
"(Max 255 characters)","(Max 255 Zeichen)"
"From","Von"
"To","F&uuml;r"
"Email to","E-Mail an"
"I'll print it myself","Selbst ausdrucken"
"Save","Speichern"
"or","oder"
"Cancel","Abbrechen"
"Saving...","speichern..."
"Gift for:","Geschenk f&uuml;r:"
"Edit","Bearbeiten"
"or","oder"
"Remove","entfernen"
"Loading...","laden..."
"Give the Coupon(s) as a Gift","Deal als Geschenk kaufen"
"Gift Options","Geschenk Optionen"
"Fill out the form below to send the coupon(s) as a gift!","Bitte das Formular ausf&uuml;llen, um den Coupon als Geschenk zu versenden."

"Redeem your Coupons!","L&ouml;sen Sie Ihre Coupons ein!"
"Redeem Information","Einl&ouml;se Informationen"
"Please enter the Coupon Code below to redeem it and view it's status.","Bitte geben Sie den Coupon Code ein um ihn einzul&ouml;sen und den Status zu sehen."
"Coupon Code","Coupon Code"
"* Required Fields","* ben&ouml;tigte Angaben"
"Submit","Best&auml;tigen"
"The Coupon doesn't exist in our database.","Wir k&ouml;nnen den Coupon leider nicht finden."
"The &quot;%s&quot; Coupon has been redeemed.","Der "&quot;%s&quot;" Coupon wurde eingel&ouml;st."
"The &quot;%s&quot; Coupon has already been used.","Der "&quot;%s&quot;" Coupon wurde bereits genutzt."

"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Ihre Anfrage wurde eingereicht. Wir melden uns bald bei Ihnen. Vielen Dank f&uuml;r Ihr Interesse."
"Unable to submit your request. Please, try again later","Anfrage konnte nicht gesendet werden. Bitte versuchen Sie es sp&auml;ter."

"%s - Upcoming Deals","%s - Kommende Deals"
"There are no upcoming deals.","Zur Zeit keine geplanten Deals."
"Feel free to Subscribe to receive updates on the newest Deals.","Melden Sie sich an um die neusten Infos zu aktuellen Deals zu erhalten."

"Not used","Nicht verwendet"
"Used","Benutzt"
"Voided","Voided"
"Coupon not sent","Coupon nicht gesendet"

"Give as a Gift","Geben sie als Geschenk"

"Deal is active","Deal ist aktiv"

"bought","gekauft"

"Add to:","An:"
"Filter by Category","Nach Kategorie filtern"

"Redeem at location","Vor ort einl&ouml;sen"

"Time left to buy:","Restzeit zu kaufen:"

"The \"%s\" DEAL is no longer available for purchase.","Die \"% s \ "DEAL ist nicht mehr zum kauf angeboten."

"The maximum order qty available for the \"%s\" DEAL is %s. Please take into account your previous purchases as well.","Die maximale bestellmenge f&uuml;r die \"% s \ "% s DEAL ist. Bitte ber&uuml;cksichtigen sie ihrer bisherigen k&auml;ufe als auch."
